CASENUMBER,CASECLASSIFICATION,TYPEOFBUSINESS,TYPEOFCOMPLAINT,CONSTRUCTIONREFERRAL,CITATIONISSUED,OPENDATE,CLOSEDATE,OUTCOME,ADDRESS,COUNCILDISTRICT,PARCELID,LOCATION
2021 015357-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,02/02/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,7401 W SLAUGHTER LANE,8,0416440107,POINT (-97.89362967 30.21465988)
2020 190145-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/17/2020 12:00:00 AM,12/17/2020 12:00:00 AM,Closed/Duplicate Case,7904 969 RD,,,POINT (-88.448709 24.923983)
2020 190557-CC,COVID-19,Restaurant,Over Occupancy,,,12/17/2020 12:00:00 AM,12/17/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,8300 N 620 RD,,,POINT (-88.448709 24.923983)
2021 015371-CC,COVID-19,Apartment Common Area,Social Distancing,,,02/02/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,460 BASTROP HIGHWAY SB UNIT 1423,3,0306200304,POINT (-97.68857302 30.23777759)
2021 071978-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,05/13/2021 12:00:00 AM,05/13/2021 12:00:00 AM,Closed/Duplicate Case,6603 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2021 019028-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,02/04/2021 12:00:00 AM,02/04/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,2207 WICKERSHAM LANE,3,0307110306,POINT (-97.72063007 30.22899127)
2021 018800-CC,COVID-19,Construction Site,Face Covering Non-Compliance - Business,,,02/04/2021 12:00:00 AM,02/04/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,TRAVIS HEIGHTS BLVD AND E RIVERSIDE DR,,,POINT (-88.448709 24.923983)
2021 007668-CC,COVID-19,Residential,Eviction,,,01/20/2021 12:00:00 AM,01/27/2021 12:00:00 AM,COVID-19/Education Provided,2101 E BEN WHITE BLVD SVRD EB 428,,,POINT (-88.448709 24.923983)
2021 016106-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,02/03/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,7112 ED BLUESTEIN BLVD SB 125,,,POINT (-88.448709 24.923983)
2021 015254-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,02/02/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,7400 969 RD,,,POINT (-88.448709 24.923983)
2021 014923-CC,COVID-19,Apartment Common Area,Social Distancing,,,02/02/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,2823 E MARTIN LUTHER KING JR BOULEVARD UNIT 105,1,0212121401,POINT (-97.71041559 30.28113466)
2021 015897-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,02/03/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,8300 N 620 RD,,,POINT (-88.448709 24.923983)
2021 015779-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,02/03/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,4100 RED RIVER ST,,,POINT (-88.448709 24.923983)
2020 190250-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,12/17/2020 12:00:00 AM,12/17/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,1304 W RIVERSIDE DR,,,POINT (-88.448709 24.923983)
2020 189928-CC,COVID-19,Other (Describe in Comments),Face Covering,,,12/16/2020 12:00:00 AM,12/17/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,7511 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2021 015782-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,02/03/2021 12:00:00 AM,02/03/2021 12:00:00 AM,Referred to Appropriate Agency,4700 SETON CENTER PARKWAY UNIT 200,7,0256000801,POINT (-97.74224114 30.40329664)
2021 015391-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,02/02/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,6504 TRISSINO DRIVE,8,0430500402,POINT (-97.9092137 30.17170103)
2021 010165-CC,COVID-19,Residential,Eviction,,,01/25/2021 12:00:00 AM,02/01/2021 12:00:00 AM,COVID-19/Education Provided,2005 WILLOW CREEK DRIVE,3,0308060301,POINT (-97.72860816 30.23205262)
2021 015848-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,02/03/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,5345 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2020 190562-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/17/2020 12:00:00 AM,12/17/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,15004 AVERY RANCH BOULEVARD BUNIT 103,6,R516673,POINT (-97.77486583 30.49956812)
2020 195030-CC,COVID-19,Restaurant,Social Distancing,,,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,602 W 2ND ST,,,POINT (-88.448709 24.923983)
2021 015372-CC,COVID-19,Other (Describe in Comments),Face Covering,,,02/02/2021 12:00:00 AM,02/03/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,2757 GATTIS SCHOOL RD,,,POINT (-88.448709 24.923983)
2020 190801-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,12/18/2020 12:00:00 AM,12/18/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,5033 W 290 HWY EB,,,POINT (-88.448709 24.923983)
2021 040576-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,6294 MC NEIL DRIVE,6,0170011303,POINT (-97.75020926 30.44142801)
2021 016184-CC,COVID-19,Apartment Common Area,Social Distancing,,,02/03/2021 12:00:00 AM,02/04/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,800 W 26TH STREET,9,0215020101,POINT (-97.74556991 30.29095653)
2020 154395-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,10/08/2020 12:00:00 AM,10/08/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,2817 E 5TH STREET,3,0202120207,POINT (-97.71041947 30.25608255)
2021 018862-CC,COVID-19,Restaurant,Face Covering,,,02/04/2021 12:00:00 AM,02/04/2021 12:00:00 AM,Referred to Appropriate Agency,8302 N 620 RD,,,POINT (-88.448709 24.923983)
2020 190847-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/18/2020 12:00:00 AM,12/18/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,1500 PALMA PLZ,,,POINT (-88.448709 24.923983)
2020 194806-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/30/2020 12:00:00 AM,12/31/2020 12:00:00 AM,COVID-19/Education Provided,1411 W BEN WHITE BLVD SVRD EB,,,POINT (-88.448709 24.923983)
2020 194799-CC,COVID-19,Restaurant,Social Distancing,,,12/30/2020 12:00:00 AM,12/31/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,11220 2222 RD,,,POINT (-88.448709 24.923983)
2020 190819-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,12/18/2020 12:00:00 AM,12/18/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,1212 E ANDERSON LN SVRD WB 300,,,POINT (-88.448709 24.923983)
2021 001543-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,01/06/2021 12:00:00 AM,01/06/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,6800 WEST GATE BOULEVARD BUNIT S2,5,0416191002,POINT (-97.81590389 30.20916379)
2021 040652-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,Closed/Duplicate Case,5309 S CONGRESS AVENUE,3,0416070109,POINT (-97.77325872 30.20748782)
2021 014842-CC,COVID-19,Residential,Eviction,,,02/02/2021 12:00:00 AM,02/04/2021 12:00:00 AM,Closed/Duplicate Case,1203 RUTLAND DRIVE,4,0243131503,POINT (-97.70462366 30.36856922)
2020 191128-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/18/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Closed/Duplicate Case,601 W BEN WHITE BLVD EB,,,POINT (-88.448709 24.923983)
2021 019009-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,02/04/2021 12:00:00 AM,02/04/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,2601 E 7TH STREET,3,0203110406,POINT (-97.71270742 30.26052719)
2021 040616-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,6601 KROLLTON DRIVE,5,0415191211,POINT (-97.81044191 30.20818171)
2021 040634-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,7212 TEABERRY DRIVE,2,0422120904,POINT (-97.78960819 30.19042895)
2021 040623-CC,COVID-19,Apartment Common Area,Social Distancing,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,2819 E 14TH STREET,1,0210120147,POINT (-97.7110168 30.27702019)
2021 040544-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,03/19/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,4507 SILVERSTONE DRIVE,2,0428010504,POINT (-97.75960158 30.17463931)
2020 191132-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/18/2020 12:00:00 AM,12/19/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,9070 RESEARCH BLVD SVRD SB,,,POINT (-88.448709 24.923983)
2020 190770-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,12/18/2020 12:00:00 AM,12/19/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,LAKE AUSTIN BLVD AND DEEP EDDY AVE,,,POINT (-88.448709 24.923983)
2021 040646-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,Closed/Duplicate Case,5309 S CONGRESS AVENUE,3,0416070109,POINT (-97.77325872 30.20748782)
2020 191220-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,2901 S CAPITAL OF TEXAS HWY NB,,,POINT (-88.448709 24.923983)
2020 191256-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,12400 N IH 35 SVRD SB C,,,POINT (-88.448709 24.923983)
2020 194376-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,12/29/2020 12:00:00 AM,12/31/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,501 E BEN WHITE BLVD SVRD EB,,,POINT (-88.448709 24.923983)
2020 194787-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/30/2020 12:00:00 AM,12/31/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,11921 N MOPAC EXPY NB 11921 N MOPAC EXPY 420,,,POINT (-88.448709 24.923983)
2021 040641-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,5309 S CONGRESS AVENUE,3,0416070109,POINT (-97.77325872 30.20748782)
2020 191271-CC,COVID-19,Restaurant,Over Occupancy,,,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,6801 N IH 35 NB,,,POINT (-88.448709 24.923983)
2020 158641-CC,COVID-19,Construction,Face-Covering,DSD Referral,,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,8813 WHITTER DRIVE,2,0436012501,POINT (-97.75738768 30.15512039)
2021 040574-CC,COVID-19,Other (Describe in Comments),Face Covering,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,8844 S CONGRESS AVE,,,POINT (-88.448709 24.923983)
2020 191202-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/19/2020 12:00:00 AM,12/19/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,11150 RESEARCH BLVD SVRD SB,,,POINT (-88.448709 24.923983)
2020 191081-CC,COVID-19,Other (Describe in Comments),Face Covering,,,12/18/2020 12:00:00 AM,12/19/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,11489 FOUR POINTS DR,,,POINT (-88.448709 24.923983)
2021 040575-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,2700 S LAMAR BOULEVARD,5,0401090154,POINT (-97.78045913 30.24539071)
2021 040547-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,03/20/2021 12:00:00 AM,03/20/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,1807 E 7TH STREET,3,0204081010,POINT (-97.72282037 30.26251328)
2021 071561-CC,COVID-19,Apartment Common Area,Social Distancing,,,05/12/2021 12:00:00 AM,05/13/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,3500 SPEEDWAY,9,0218040310,POINT (-97.73446327 30.2996044)
2020 191340-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,E 6TH ST AND BRAZOS ST,,,POINT (-88.448709 24.923983)
2021 072010-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,05/13/2021 12:00:00 AM,05/13/2021 12:00:00 AM,Referred to Appropriate Agency,300 W CESAR CHAVEZ STREET,9,0205010605,POINT (-97.74740323 30.26444644)
2020 191125-CC,COVID-19,Restaurant,Social Distancing,,,12/18/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,5510 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2020 191351-CC,COVID-19,Other (Describe in Comments),Face Covering,,,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,3929 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2020 191352-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,10730 S IH 35 SVRD SB,,,POINT (-88.448709 24.923983)
2020 191123-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/18/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,601 W BEN WHITE BLVD EB,,,POINT (-88.448709 24.923983)
2020 191344-CC,COVID-19,Restaurant,Social Distancing,,,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,901 E KOENIG LN SVRD EB,,,POINT (-88.448709 24.923983)
2021 072002-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,05/13/2021 12:00:00 AM,05/13/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,6603 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2020 191350-CC,COVID-19,Other (Describe in Comments),Face Covering,,,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,3817 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2020 191375-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,5621 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2020 191308-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,10730 S IH 35 SVRD SB,,,POINT (-88.448709 24.923983)
2020 191289-CC,COVID-19,Residential/Apartment,Over Occupancy,,,12/19/2020 12:00:00 AM,12/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,3209 S IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2020 193304-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,525 W BEN WHITE BLVD SVRD EB,,,POINT (-88.448709 24.923983)
2021 012711-CC,COVID-19,Construction Site,Face Covering Non-Compliance - Business,,,01/28/2021 12:00:00 AM,01/28/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,2302 ENFIELD RD,,,POINT (-88.448709 24.923983)
2020 191866-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/21/2020 12:00:00 AM,12/21/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,10125 N IH 35 SVRD NB,,,POINT (-88.448709 24.923983)
2021 012759-CC,COVID-19,Other (Describe in Comments),Face Covering,,,01/28/2021 12:00:00 AM,01/28/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,412 PRESSLER ST,,,POINT (-88.448709 24.923983)
2020 138334-CC,COVID-19,Construction Site,Face Covering,,,09/09/2020 12:00:00 AM,09/09/2020 12:00:00 AM,Closed/Duplicate Case,201 BOWIE ST,,,POINT (-88.448709 24.923983)
2021 072561-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,05/14/2021 12:00:00 AM,05/14/2021 12:00:00 AM,Referred to Appropriate Agency,1984 W BEN WHITE BLVD EB,,,POINT (-88.448709 24.923983)
2021 040655-CC,COVID-19,Other (Describe in Comments),Face Covering,,,03/20/2021 12:00:00 AM,03/21/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,9110 NORTH DRIVE,4,0240170312,POINT (-97.6937239 30.35893908)
2020 142232-CC,COVID-19,Construction Site,Face Covering,,,09/16/2020 12:00:00 AM,09/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,606 W 3RD ST,,,POINT (-88.448709 24.923983)
2020 095584-CC,COVID-19,Residential,Eviction,,,06/29/2020 12:00:00 AM,06/29/2020 12:00:00 AM,COVID-19/Education Provided,UNIT NULL,,,POINT (-88.448709 24.923983)
2020 047651-CC,COVID-19,Other,Over Occupancy,,,03/20/2020 12:00:00 AM,03/21/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,1015 NORWOOD,,,POINT (-88.448709 24.923983)
2020 070696-CC,COVID-19,Other,Non-essential Business,,,05/06/2020 12:00:00 AM,05/06/2020 12:00:00 AM,COVID-19/Education Provided,10601 N. LAMAR,,,POINT (-88.448709 24.923983)
2020 193299-CC,COVID-19,Apartment Common Area,Face Covering Non-Compliance - Business,,,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,7227 E 290 HWY EB,,,POINT (-88.448709 24.923983)
2021 012148-CC,COVID-19,Other (Describe in Comments),Face Covering,,,01/28/2021 12:00:00 AM,01/28/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,8055 RESEARCH BLVD SVRD NB,,,POINT (-88.448709 24.923983)
2021 040651-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,03/20/2021 12:00:00 AM,03/21/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,1201 BARBARA JORDAN BOULEVARD BUNIT 1435,9,0221130406,POINT (-97.70916498 30.30635358)
2020 193209-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,12/24/2020 12:00:00 AM,12/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,7301 N 620 RD,,,POINT (-88.448709 24.923983)
2021 012349-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,01/28/2021 12:00:00 AM,01/28/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,9025 N MOPAC EXPY NB,,,POINT (-88.448709 24.923983)
2021 012747-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,01/28/2021 12:00:00 AM,01/28/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,1212 E ANDERSON LN EB,,,POINT (-88.448709 24.923983)
2020 089254-CC,COVID-19,Residential,Eviction,,,06/16/2020 12:00:00 AM,06/17/2020 12:00:00 AM,COVID-19/Education Provided,8028 GESSNER DRIVE BLDG  1,4,0234150203,POINT (-97.70242482 30.3442961)
2020 103112-CC,COVID-19,Restaurant,Over Occupancy,,,07/12/2020 12:00:00 AM,07/13/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,900 E 7TH STREET,1,0206050222,POINT (-97.73302375 30.26665634)
2020 156260-CC,COVID-19,Construction,Face-Covering,DSD Referral,,10/12/2020 12:00:00 AM,10/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,1701 NORRIS DRIVE,5,0102071206,POINT (-97.77458418 30.25612047)
2020 055816-CC,COVID-19,Residential,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,6802 WAKE FOREST LANE,1,0223261003,POINT (-97.66874218 30.31289972)
2021 073434-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,05/16/2021 12:00:00 AM,05/16/2021 12:00:00 AM,No Violation(s) Found/Inspection Performed,8801 S IH 35 SERVICE ROAD NB,2,0431080551,POINT (-97.78259969 30.16833491)
2021 019871-CC,COVID-19,Restaurant,Face Covering,,,02/05/2021 12:00:00 AM,02/05/2021 12:00:00 AM,Closed/Duplicate Case,7791 N LAMAR BLVD SVRD NB,,,POINT (-88.448709 24.923983)
2020 147766-CC,COVID-19,Restaurant,Face Covering,,,09/27/2020 12:00:00 AM,09/27/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,329 TAFT LN,,,POINT (-88.448709 24.923983)
2020 151772-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,Cancelled,9111 812 RD,,,POINT (-88.448709 24.923983)
2020 157967-CC,COVID-19,Restaurant,Face Covering,,,10/14/2020 12:00:00 AM,10/16/2020 12:00:00 AM,Closed due to Voluntary Compliance,3207 BEE CAVES RD,,,POINT (-88.448709 24.923983)
2020 193273-CC,COVID-19,Other (Describe in Comments),Face Covering,,,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,10214 N IH 35 SVRD SB,,,POINT (-88.448709 24.923983)
